Id,year,fullName,primaryNationality,gender,photoUrl,typeOfDeath,status,employedAs,organizations,localOrForeign,motiveConfirmed,impunityMurder,tortured,captive,threatened,sentence,country,region,location,locationImprisoned
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1994,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1995,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1996,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1997,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1998,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
9,1996,Abdallah Bouhachek,Algeria,Male,,Murder,Killed,Staff,Révolution et Travail,Local,Confirmed,Complete Impunity,No,No,No,,Algeria,,Blida,
10,1992,Abdallah Muqdad,Syria,Male,,,Imprisoned,,Syrian Arab News Agency (SANA),Local,,,,,,,Syria,,,
10,1992,Abdallah Muqdad,Syria,Male,,,Imprisoned,,Syrian Arab News Agency (SANA),Local,,,,,,,Syria,,,
10,1993,Abdallah Muqdad,Syria,Male,,,Imprisoned,,Syrian Arab News Agency (SANA),Local,,,,,,,Syria,,,
10,1993,Abdallah Muqdad,Syria,Male,,,Imprisoned,,Syrian Arab News Agency (SANA),Local,,,,,,,Syria,,,
11,2013,Abdel Aziz Mahmoud Hasoun,Syria,Male,,Crossfire,Killed,Staff,Masar Press,Local,Confirmed,,,,,,Syria,Damascus,Jobar,
12,2018,Abdel Hafez al-Houlani,Syria,Male,,,Imprisoned,Staff,Zaman al-Wasl,Local,,,,,,Not Sentenced,Lebanon,"Baalbeck Hermel Province, Lebanon",Hermel,
13,2018,Abdel Halim Kandil,Egypt,Male,,,Imprisoned,Staff,Sawt al-Ummah,Local,,,,,,3 years,Egypt,,Cairo,
14,2013,Abdel Karim Nazir Ismail,Syria,Male,,Crossfire,Killed,Freelance,Freelance,Local,Confirmed,,,,,,Syria,,Arbin,
15,2006,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2006,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2006,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2006,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2007,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2007,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2007,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2007,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2008,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2008,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2008,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2008,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2009,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2009,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2009,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
15,2009,Abdel Karim Suleiman (Karim Amer),Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,4 years,Egypt,,,
16,2004,Abdel Karim al-Khaiwani,Yemen,Male,,,Imprisoned,Staff,Al-Shoura,Local,,,,,,1 Year,Yemen,,,
16,2004,Abdel Karim al-Khaiwani,Yemen,Male,,,Imprisoned,Staff,Al-Shoura,Local,,,,,,1 Year,Yemen,,Sana'a,
16,2015,Abdel Karim al-Khaiwani,,,,,Killed,Freelance,Freelance,,Unconfirmed,,,,,,Yemen,,,
16,2015,Abdel Karim al-Khaiwani,,,,,Killed,Freelance,Freelance,,Unconfirmed,,,,,,Yemen,,Sana'a,
17,2012,Abdel Karim al-Oqda,Syria,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/abuhassan.youtube.cropped.jpg,Murder,Killed,Staff,Shaam News Network,Local,Confirmed,Complete Impunity,No,No,No,,Syria,,Hama,
18,2006,Abdel Karim al-Rubai,Iraq,Male,,Murder,Killed,Staff,Al-Sabah,Local,Confirmed,Complete Impunity,No,No,Yes,,Iraq,,Baghdad,
19,2006,Abdel Majid al-Mehmedawi,,,,,Killed,Freelance,Freelance,,Unconfirmed,,,,,,Iraq,,Baghdad,
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2014,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2015,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2016,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2017,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2018,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
20,2019,Abdel Rahman Shaheen,Egypt,Male,,,Imprisoned,Staff,Freedom and Justice Gate,Local,,,,,,6 years,Egypt,,Suez,Suez
21,2005,Abdel Raziq al-Mansouri,Libya,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,1 year 6 months,Libya,,,
22,2004,Abdel Sattar Abdel Karim,Iraq,Male,,Crossfire,Killed,Freelance,Al Ta'akhy,Local,Confirmed,,,,,,Iraq,,Arbil,
23,2018,Abdel-Rahman Adel al-Ansari,Egypt,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,Not Sentenced,Egypt,,Cairo,
24,2013,Abdelhai Abdessamia,Algeria,Male,,,Imprisoned,Staff,Mon Journal and Djaridati,Local,,,,,,Not Sentenced,Algeria,,,
24,2013,Abdelhai Abdessamia,Algeria,Male,,,Imprisoned,Staff,Mon Journal and Djaridati,Local,,,,,,Not Sentenced,Algeria,,,
24,2014,Abdelhai Abdessamia,Algeria,Male,,,Imprisoned,Staff,Mon Journal and Djaridati,Local,,,,,,Not Sentenced,Algeria,,,
24,2014,Abdelhai Abdessamia,Algeria,Male,,,Imprisoned,Staff,Mon Journal and Djaridati,Local,,,,,,Not Sentenced,Algeria,,,
25,1993,Abdelhamid Benmeni,Algeria,Male,,Murder,Killed,Staff,Algérie-Actualité,Local,Confirmed,Complete Impunity,No,No,No,,Algeria,,Algiers,
26,1995,Abdelhamid Yahiaoui,Algeria,Male,,Murder,Killed,Staff,El-Chaab,Local,Confirmed,Complete Impunity,No,Yes,No,,Algeria,Algiers,Baraki,
27,2017,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2017,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2017,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2018,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2018,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2018,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2019,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2019,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
27,2019,Abdelkabir al-Hor,Morocco,Male,https://cpj-photos.s3.amazonaws.com/Abdelkabir%20alhor_Family%20photo%20%281%29-2017-12-28-1514477928163.jpg,,Imprisoned,Staff,Rassd Maroc,Local,,,,,,4 years,Morocco,,Salé,Salé Prison
28,1995,Abdelkader Hadj Benaamane,Algeria,Male,,,Imprisoned,,Algerian Press Service,Local,,,,,,3 years,Algeria,,,
28,1995,Abdelkader Hadj Benaamane,Algeria,Male,,,Imprisoned,,Algerian Press Service,Local,,,,,,3 years,Algeria,,,
28,1996,Abdelkader Hadj Benaamane,Algeria,Male,,,Imprisoned,,Algerian Press Service,Local,,,,,,3 years,Algeria,,,
28,1996,Abdelkader Hadj Benaamane,Algeria,Male,,,Imprisoned,,Algerian Press Service,Local,,,,,,3 years,Algeria,,,
29,1994,Abdelkader Hireche,,Male,,Murder,Killed,Staff,Algerian Television (ENTV),Foreign,Confirmed,Partial Impunity,No,No,No,,Algeria,,Algiers,
30,2019,Abdelmoundji Khelladi,Algeria,Male,,,Imprisoned,Freelance,Freelance,Local,,,,,,Not Sentenced,Algeria,,Constantine,
31,2016,Abdelqadir Fassouk,Libya,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdelqadir-Fassouk250.jpg,Crossfire,Killed,Staff,Arraed Satellite TV,Local,Confirmed,,,,,,Libya,,Sirte,
32,2015,Abdelrahman Abdelsalam Yaqot,Egypt,Male,,,Imprisoned,Staff,Karmoz,Local,,,,,,Not Sentenced,Egypt,,,
32,2015,Abdelrahman Abdelsalam Yaqot,Egypt,Male,,,Imprisoned,Staff,Karmoz,Local,,,,,,Not Sentenced,Egypt,,,
32,2016,Abdelrahman Abdelsalam Yaqot,Egypt,Male,,,Imprisoned,Staff,Karmoz,Local,,,,,,Not Sentenced,Egypt,,,
32,2016,Abdelrahman Abdelsalam Yaqot,Egypt,Male,,,Imprisoned,Staff,Karmoz,Local,,,,,,Not Sentenced,Egypt,,,
33,2015,Abdelrahman Abu Ouf,Egypt,Male,,,Imprisoned,Staff,Al-Mesryoon,Local,,,,,,Not Sentenced,Egypt,,,
34,2010,Abdelrahman Adam Abdelrahman,Sudan,Male,,,Imprisoned,Staff,Radio Dabanga,Local,,,,,,Not Sentenced,Sudan,,,
34,2010,Abdelrahman Adam Abdelrahman,Sudan,Male,,,Imprisoned,Staff,Radio Dabanga,Local,,,,,,Not Sentenced,Sudan,,,
34,2011,Abdelrahman Adam Abdelrahman,Sudan,Male,,,Imprisoned,Staff,Radio Dabanga,Local,,,,,,Not Sentenced,Sudan,,,
34,2011,Abdelrahman Adam Abdelrahman,Sudan,Male,,,Imprisoned,Staff,Radio Dabanga,Local,,,,,,Not Sentenced,Sudan,,,
35,1993,Abderrahmane Chergou,Algeria,Male,,Murder,Killed,Freelance,Freelance,Local,Confirmed,Complete Impunity,No,No,No,,Algeria,,Algiers,
36,2016,Abdiaziz Ali,Somalia,Male,,Murder,Killed,Staff,Radio Shabelle,Local,Confirmed,Complete Impunity,No,No,No,,Somalia,,Mogadishu,
37,2013,Abdihared Osman Aden,Somalia,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdihared%252520Osman%252520Adan%252520%252528Shabelle%252529croppedcap.jpg,Murder,Killed,Freelance,Shabelle Media Network,Local,Confirmed,Complete Impunity,No,No,No,,Somalia,,Mogadishu,
38,2013,Abdimalik Yusuf,Somalia,Male,,,Imprisoned,Staff,Shabelle Media Network,Local,,,,,,Not Sentenced,Somalia,,,
